user_id,email,registration_date,user_country,age,gender,income_bracket,phone_verified,risk_score
1,user_1@gmail.com,2023-08-02,FR,56.0,F,medium,No,27.58
2,user_2@yahoo.es,2020-08-16,US,69.0,F,,no,49.93
3,user_3@hotmail.com,2020-02-21,TR,46.0,F,low,no,31.2
4,user_4@gmail.com,2021-07-17,PL,32.0,M,medium,Yes,92.15
5,user_5@yahoo.es,2021-05-16,PL,60.0,M,high,Yes,53.66
6,user_6@hotmail.com,2021-04-02,FR,25.0,F,low,0,69.62
7,user_7@gmail.com,2020-10-12,ES,38.0,F,medium,0,8.35
8,user_8@yahoo.es,2020-07-28,IT,56.0,M,medium,no,4.03
9,user_9@hotmail.com,2023-10-17,IT,36.0,F,high,Yes,25.92
10,user_10@gmail.com,2023-01-21,TR,40.0,M,medium,Yes,30.91
11,user_11@yahoo.es,2020-06-27,US,-6.0,F,low,no,68.77
12,user_12@hotmail.com,2023-04-24,RO,28.0,F,medium,1,56.91
13,user_13@gmail.com,2022-05-14,US,41.0,F,medium,1,37.46
14,user_14@yahoo.es,2020-03-06,FR,70.0,Other,low,yes,65.41
15,user_15@hotmail.com,02 Mar 2020,US,53.0,F,high,False,16.36
16,user_16@gmail.com,2020-07-10,IT,57.0,F,low,Yes,6.35
17,user_17@yahoo.es,2021-03-23,FR,41.0,F,medium,True,85.45
18,user_18@hotmail.com,2021-04-21,GB,20.0,F,low,No,56.39
19,user_19@gmail.com,2022-10-31,NL,39.0,F,low,1,64.91
20,user_20@yahoo.es,05-17-2023,PL,70.0,M,medium,no,30.72
21,user_21@hotmail.com,2020-02-24,TR,19.0,M,low,0,37.2
22,user_22@gmail.com,23/02/2023,IT,,F,medium,Yes,8.24
23,user_23@yahoo.es,2021-02-11,RO,61.0,M,low,True,85.7
24,user_24@hotmail.com,2023-08-23,ES,47.0,M,high,No,59.24
25,user_25@gmail.com,2023-01-21,GB,55.0,Other,low,True,8.36
26,user_26@yahoo.es,2022-05-09,FR,19.0,F,low,yes,80.45
27,user_27@hotmail.com,2021-03-27,ES,38.0,F,medium,True,44.41
28,user_28@gmail.com,2022-07-08,PL,50.0,M,high,0,76.51
29,user_29@yahoo.es  ,2023-04-21,US,29.0,,medium,1,1.26
30,user_30@hotmail.com,2021-07-23,ES,39.0,M,high,True,2.87
31,user_31@gmail.com,2020-01-14,RO,61.0,M,low,No,17.08
32,user_32@yahoo.es,2020-11-22,TR,42.0,M,high,1,21.09
33,user_33@hotmail.com,2022-05-15,FR,66.0,M,low,yes,76.4
34,user_34@gmail.com,2021-11-27,ES,44.0,F,,yes,70.67
35,user_35@yahoo.es,2021-07-23,FR,59.0,F,medium,False,61.61
36,user_36@hotmail.com,2020-11-14,US,45.0,M,medium,0,88.49
37,user_37@gmail.com,2021-03-16,PL,33.0,M,very_high,1,24.71
38,user_38@yahoo.es,2021-11-20,GB,32.0,F,low,yes,90.44
39,user_39@hotmail.com,2020-07-28,TR,64.0,M,very_high,yes,90.95
40,user_40@gmail.com,2020-07-08,US,68.0,F,medium,1,43.43
41,  user_41@yahoo.es,17 Feb 2022,FR,61.0,M,,True,9.44
42,user_42@hotmail.com,2020-07-17,RO,72.0,M,low,no,72.66
43,user_43@gmail.com,2022-01-05,US,69.0,M,medium,No,33.69
44,user_44@yahoo.es,05 Dec 2021,NL,74.0,M,very_high,True,79.49
45,user_45@hotmail.com,2023-05-21,RO,20.0,F,medium,No,16.37
46,user_46@gmail.com,2021-06-25,DE,54.0,F,medium,yes,53.95
47,user_47@yahoo.es,2020-03-29,IT,68.0,F,very_high,yes,50.81
48,user_48@hotmail.com,2022-07-29,US,24.0,M,medium,0,10.03
49,user_49@gmail.com,03 Jan 2023,TR,,F,medium,1,36.33
50,user_50@yahoo.es,2020-09-12,DE,26.0,F,medium,Yes,8.48
51,user_51@hotmail.com,2022-02-14,TR,56.0,F,low,yes,46.47
52,user_52@gmail.com,2020-06-10,IT,35.0,M,low,No,84.29
53,user_53@yahoo.es,2023-02-04,NL,21.0,M,medium,No,27.02
54,user_54@hotmail.com,2021-08-23,RO,42.0,F,medium,no,76.49
55,user_55@gmail.com,2023-07-11,NL,31.0,F,,no,18.34
56,user_56@yahoo.es,2023-06-20,ES,67.0,M,low,True,67.37
57,user_57@hotmail.com,2022-01-10,TR,26.0,M,very_high,True,91.55
58,user_58@gmail.com,2023-03-28,TR,43.0,F,low,yes,32.39
59,user_59@yahoo.es,2021-01-28,US,70.0,F,medium,yes,90.04
60,user_60@hotmail.com,2020-05-22,NL,19.0,M,medium,False,50.54
61,user_61@gmail.com,2020-04-03,NL,37.0,F,low,No,31.68
62,user_62@yahoo.es,2023-09-16,NL,45.0,F,low,0,89.65
63,user_63@hotmail.com,2021-04-11,PL,64.0,F,high,1,3.2
64,user_64@gmail.com,15/08/2021,DE,24.0,F,high,1,2.8
65,user_65@yahoo.es,2020-06-12,DE,61.0,M,medium,no,59.98
66,user_66@hotmail.com,2021-04-21,ES,25.0,F,,1,79.68
67,user_67@gmail.com,2020-07-25,NL,64.0,M,medium,No,75.15
68,user_68@yahoo.es,2022-02-17,PL,52.0,F,low,True,7.95
69,user_69@hotmail.com,2021-07-23,DE,31.0,F,medium,0,95.03
70,user_70@gmail.com,2022-07-17,TR,34.0,M,high,1,70.31
71,user_71@yahoo.es,2023-07-25,NL,53.0,F,medium,No,94.91
72,user_72@hotmail.com,2022-01-17,GB,67.0,Other,very_high,Yes,32.91
73,user_73@gmail.com,2020-11-29,GB,57.0,M,,yes,69.39
74,user_74@yahoo.es,2022-01-28,DE,21.0,F,medium,False,85.99
75,user_75@hotmail.com,2021-12-28,DE,19.0,F,medium,False,38.05
76,user_76@gmail.com,2021-03-05,US,23.0,F,medium,1,96.49
77,user_77@yahoo.es,2023-10-04,PL,71.0,M,medium,True,26.5
78,user_78@hotmail.com,2021-06-30,IT,59.0,M,medium,False,31.56
79,user_79@gmail.com,2023-10-31,FR,177.0,M,high,False,92.03
80,user_80@yahoo.es,2023-08-20,US,71.0,F,high,no,96.97
81,user_81@hotmail.com,2020-05-26,US,46.0,M,medium,False,28.52
82,user_82@gmail.com,2023-06-01,FR,35.0,F,high,False,13.64
83,user_83@yahoo.es,2023-07-24,DE,43.0,M,medium,1,75.91
84,user_84@hotmail.com,2020-12-16,PL,61.0,F,high,no,92.97
85,user_85@gmail.com,2022-12-29,PL,5.0,M,low,No,60.07
86,user_86@yahoo.es,2021-05-16,FR,27.0,M,low,0,63.45
87,user_87@hotmail.com,2020-11-30,FR,53.0,M,medium,0,76.29
88,user_88@gmail.com,2022-08-04,PL,31.0,M,medium,True,15.31
89,user_89@yahoo.es,2022-02-16,DE,,F,,No,97.35
90,user_90@hotmail.com,2021-07-06,FR,65.0,F,,yes,36.43
91,user_91@gmail.com,2023-08-03,TR,,F,low,Yes,62.82
92,user_92@yahoo.es,14/02/2023,FR,25.0,F,medium,0,46.86
93,user_93@hotmail.com,2021-03-25,FR,31.0,F,medium,Yes,46.82
94,user_94@gmail.com,2021-10-26,ES,40.0,F,medium,0,70.27
95,user_95@yahoo.es,2020-04-24,GB,74.0,F,,no,99.47
96,user_96@hotmail.com,2021-04-14,RO,57.0,F,low,0,65.91
97,user_97@gmail.com,2020-03-06,TR,38.0,M,high,no,79.41
98,user_98@yahoo.es,2021-10-08,TR,33.0,F,low,no,2.76
99,user_99@hotmail.com,2022-04-01,US,62.0,M,low,True,81.04
100,user_100@gmail.com,2021-07-02,ES,35.0,F,low,False,30.0
101,user_101@yahoo.es,2020-05-15,GB,64.0,F,medium,True,12.67
102,user_102@hotmail.com,2021-03-08,GB,70.0,M,medium,no,11.33
103,user_103@gmail.com,2023-03-07,DE,41.0,M,medium,no,67.99
104,user_104@yahoo.es,2021-10-06,US,43.0,F,medium,0,99.76
105,user_105@hotmail.com,2021-03-11,NL,,F,high,No,66.62
106,user_106@gmail.com,04/09/2023,IT,62.0,M,low,False,26.23
107,user_107@yahoo.es  ,2022-10-19,DE,58.0,F,high,No,20.33
108,user_108@hotmail.com,2022-03-21,ES,46.0,F,medium,No,52.6
109,user_109@gmail.com,2023-08-09,FR,32.0,F,medium,No,6.5
110,user_110@yahoo.es,2022-07-28,PL,62.0,Other,low,False,39.93
111,user_111@hotmail.com,2020-10-19,FR,18.0,F,low,No,66.62
112,user_112@gmail.com,2021-06-26,TR,42.0,M,medium,False,96.77
113,user_113@yahoo.es,2020-10-12,IT,24.0,F,medium,Yes,42.57
114,user_114@hotmail.com,2021-05-20,US,-2.0,F,low,no,20.02
115,user_115@gmail.com,2023-02-23,FR,41.0,M,very_high,yes,81.74
116,user_116@yahoo.es,2023-01-08,PL,,M,,0,74.42
117,user_117@hotmail.com,06-22-2021,DE,61.0,M,medium,1,85.97
118,user_118@gmail.com,2023-04-12,IT,25.0,F,very_high,No,21.47
119,user_119@yahoo.es,2022-05-27,US,41.0,F,low,True,40.48
